Coverage summary (llvm-cov report):
Filename                                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/oof/cairo_coverage/src/cairo-analysis-surface-private.h                           1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-analysis-surface.c                                 377               307    18.57%          36                24    33.33%         701               558    20.40%         246               223     9.35%
home/oof/cairo_coverage/src/cairo-arc.c                                               48                 4    91.67%           7                 1    85.71%         129                20    84.50%          26                 3    88.46%
home/oof/cairo_coverage/src/cairo-array.c                                            122                45    63.11%          21                 4    80.95%         188                58    69.15%          72                38    47.22%
home/oof/cairo_coverage/src/cairo-atomic-private.h                                    23                 8    65.22%          13                 4    69.23%          69                31    55.07%           8                 4    50.00%
home/oof/cairo_coverage/src/cairo-backend-private.h                                    4                 3    25.00%           4                 3    25.00%          12                 9    25.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-bentley-ottmann-rectangular.c                      292                63    78.42%          20                 1    95.00%         536               134    75.00%         194                52    73.20%
home/oof/cairo_coverage/src/cairo-bentley-ottmann-rectilinear.c                      192                55    71.35%          14                 2    85.71%         364               138    62.09%         138                53    61.59%
home/oof/cairo_coverage/src/cairo-bentley-ottmann.c                                  504                72    85.71%          35                 1    97.14%         739                87    88.23%         312                65    79.17%
home/oof/cairo_coverage/src/cairo-box-inline.h                                        43                10    76.74%           7                 2    71.43%          60                26    56.67%          24                 8    66.67%
home/oof/cairo_coverage/src/cairo-boxes-intersect.c                                  259               211    18.53%          22                20     9.09%         400               347    13.25%         160               133    16.88%
home/oof/cairo_coverage/src/cairo-boxes.c                                            179                65    63.69%          15                 6    60.00%         291               121    58.42%         120                52    56.67%
home/oof/cairo_coverage/src/cairo-cache.c                                             50                17    66.00%          15                 7    53.33%          92                37    59.78%          26                12    53.85%
home/oof/cairo_coverage/src/cairo-clip-boxes.c                                       221                53    76.02%          18                 5    72.22%         380               191    49.74%         144                47    67.36%
home/oof/cairo_coverage/src/cairo-clip-inline.h                                       15                 2    86.67%           6                 1    83.33%          35                 6    82.86%           4                 2    50.00%
home/oof/cairo_coverage/src/cairo-clip-polygon.c                                      52                22    57.69%           3                 1    66.67%          74                26    64.86%          30                14    53.33%
home/oof/cairo_coverage/src/cairo-clip-region.c                                       45                18    60.00%           3                 0   100.00%          50                16    68.00%          26                13    50.00%
home/oof/cairo_coverage/src/cairo-clip-surface.c                                      62                62     0.00%           4                 4     0.00%         147               147     0.00%          46                46     0.00%
home/oof/cairo_coverage/src/cairo-clip.c                                             385               206    46.49%          27                12    55.56%         522               296    43.30%         240               149    37.92%
home/oof/cairo_coverage/src/cairo-color.c                                             56                26    53.57%          10                 3    70.00%          76                27    64.47%          40                18    55.00%
home/oof/cairo_coverage/src/cairo-combsort-inline.h                                   23                 0   100.00%           3                 0   100.00%          48                 0   100.00%          18                 0   100.00%
home/oof/cairo_coverage/src/cairo-compiler-private.h                                   2                 2     0.00%           2                 2     0.00%          14                14     0.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-composite-rectangles.c                             226                82    63.72%          15                 3    80.00%         334               109    67.37%         164                67    59.15%
home/oof/cairo_coverage/src/cairo-compositor.c                                        70                13    81.43%           6                 0   100.00%         163                55    66.26%          56                16    71.43%
home/oof/cairo_coverage/src/cairo-contour-inline.h                                     7                 1    85.71%           4                 1    75.00%          20                 7    65.00%           2                 0   100.00%
home/oof/cairo_coverage/src/cairo-contour.c                                          178               167     6.18%          19                15    21.05%         290               254    12.41%         104               101     2.88%
